Vegetable,0.5,cup,75,g,"cooked green or orange vegetables (for example, broccoli, spinach, carrots or pumpkin)"
Vegetable,0.5,cup,75,g,"cooked dried or canned beans, peas or lentils (preferably with no added salt)"
Vegetable,1,cup,75,g,green leafy or raw salad vegetables
Vegetable,0.5,cup,75,g,sweet corn
Vegetable,0.5,whole,75,g,"medium potato or other starchy vegetables (sweet potato, taro or cassava)"
Vegetable,1,whole,75,g,medium tomato
Fruit,1,whole,150,g,"medium apple, banana, orange or pear"
Fruit,2,whole,150,g,"small apricots, kiwi fruits or plums"
Fruit,1,cup,150,g,diced or canned fruit (no added sugar)
Fruit,0.5,cup,125,ml,fruit juice (no added sugar). Only occasionally
Fruit,30,g,,,"dried fruit (for example, 4 dried apricot halves, 1.5 tablespoons of sultanas). Only occasionally"
Grain,1,slice,40,g,bread
Grain,0.5,whole,40,g,medium roll or flat bread
Grain,0.5,cup,100,g,"cooked rice, pasta, noodles, barley, buckwheat, semolina, polenta, bulgur or quinoa"
Grain,0.5,cup,120,g,cooked porridge
Grain,0.66,cup,30,g,wheat cereal flakes
Grain,0.25,cup,30,g,muesli
Grain,3,whole,35,g,crispbreads
Grain,1,whole,60,g,crumpet
Grain,1,whole,35,g,small English muffin or scone
Protein,65,g,95,g (raw),"cooked lean red meats such as beef, lamb, veal, pork, goat or kangaroo"
Protein,80,g,100,g (raw),cooked lean poultry such as chicken or turkey
Protein,100,g,115,g (raw),cooked fish fillet or one small can of fish
Protein,2,whole,120,g,large eggs
Protein,1,cup,150,g,"cooked or canned legumes/beans such as lentils, chick peas or split peas (preferably with no added salt)"
Protein,170,g,,,tofu
Protein,30,g,,,"nuts, seeds, peanut or almond butter or tahini or other nut or seed paste (no added salt). Only occationally"
Calcium,1,cup,250,ml,"fresh, UHT long life, reconstituted powdered milk or buttermilk"
Calcium,0.5,cup,120,ml,evaporated milk
Calcium,2,slices,40,g,"hard cheese, such as cheddar"
Calcium,0.5,cup,120,g,ricotta cheese
Calcium,0.75,cup,200,g,yoghurt
Calcium,1,cup,250,ml,"soy, rice or other cereal drink with at least 100mg of added calcium per 100ml"
Calcium,100,g,,,almonds with skin
Calcium,60,g,,,"sardines, canned in water"
Calcium,0.5,cup,100,g,canned pink salmon with bones
Calcium,100,g,,,firm tofu (check the label as calcium levels vary)
Oil,8,g,,,unsaturated spreads
Oil,8,g,,,nuts or seeds
Oil,8,g,,,unsaturated oils
